ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413672461,Photo,Western Bluebird,Sialia mexicana,,Amin Khalifa,2022-02-06,2022,2,6,1243,United States,US-CA-059,California,Orange,"Jeffrey Open Space Trail, Irvine",33.6975832,-117.7601874,"",,Unspecified,"","",,,,,,,S102169267,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2048,1366
413671791,Photo,Western Bluebird,Sialia mexicana,,Nancy Salem,2022-02-06,2022,2,6,1322,United States,US-CA-037,California,Los Angeles,Golden Shore Marine Reserve,33.7639101,-118.2027358,"",,Unspecified,"","",,,,,,,S102169794,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,3888,5184
413671711,Photo,Western Bluebird,Sialia mexicana,,Nancy Salem,2022-02-06,2022,2,6,1322,United States,US-CA-037,California,Los Angeles,Golden Shore Marine Reserve,33.7639101,-118.2027358,"",,Unspecified,"","",,,,,,,S102169794,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1616,2638
413667971,Photo,Western Bluebird,Sialia mexicana,,Joseph Ryan,2022-02-06,2022,2,6,1040,United States,US-CA-067,California,Sacramento,Mather Lake,38.5546093,-121.2561035,"",,Unspecified,"","",,,,,,,S102154457,"",,,,One Girl and One Boy (a bit blurry),Sialia mexicana,wesblu,Species,27195,,.00,0,,644,966
413667961,Photo,Western Bluebird,Sialia mexicana,,Joseph Ryan,2022-02-06,2022,2,6,1040,United States,US-CA-067,California,Sacramento,Mather Lake,38.5546093,-121.2561035,"",,Unspecified,"","",,,,,,,S102154457,"",,,,One Girl and One Boy (a bit blurry),Sialia mexicana,wesblu,Species,27195,,.00,0,,644,966
413664371,Photo,Western Bluebird,Sialia mexicana,,Chris Conard,2022-02-06,2022,2,6,959,United States,US-CA-067,California,Sacramento,Mather Lake,38.5546093,-121.2561035,"",,Unspecified,"","",,,,,,,S102150661,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.00,1,,3302,4152
413663971,Photo,Western Bluebird,Sialia mexicana,,Molly Goheen,2022-02-06,2022,2,6,1015,United States,US-CA-055,California,Napa,American Canyon Wetlands--Eucalyptus Rd.,38.1808883,-122.2774029,"",,Unspecified,"","",,,,,,,S102172086,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2954,3867
413636441,Photo,Western Bluebird,Sialia mexicana,,Jim Roberts,2022-02-06,2022,2,6,830,United States,US-CA-073,California,San Diego,Marcy Park,32.8444468,-117.2262111,"",,Unspecified,"","",,,,,,,S102167238,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,3456,5184
413596431,Photo,Western Bluebird,Sialia mexicana,,Rohan Prinja,2022-02-05,2022,2,5,1515,United States,US-CA-085,California,Santa Clara,"stakeout Oriental Turtle-Dove, Palo Alto (2022)",37.4376660,-122.1162510,"",,Unspecified,"","",,,,,,,S102159258,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2448,3264
413593931,Photo,Western Bluebird,Sialia mexicana,,Kenneth Zillig,2022-02-06,2022,2,6,856,United States,US-CA-113,California,Yolo,Putah Creek Riparian Reserve (YOL Co.),38.5277630,-121.8004200,Adult Female – 1,,Unspecified,"","",,,,,,,S102146207,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,749,1331
413593901,Photo,Western Bluebird,Sialia mexicana,,Anonymous,2022-02-06,2022,2,6,630,United States,US-CA-059,California,Orange,Irvine Regional Park,33.7968382,-117.7532673,"",,Unspecified,"","",,,,,,,S102158543,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1104,1605
